Alegría-Dulantzi,id01001
Torrelavit,id08287
Torrelles de Foix,id08288
Torrelles de Llobregat,id08289
Ullastrell,id08290
Vacarisses,id08291
Vallbona d'Anoia,id08292
Vallcebre,id08293
Vallgorguina,id08294
Vallirana,id08295
Vallromanes,id08296
Veciana,id08297
Vic,id08298
Vilada,id08299
Viladecavalls,id08300
Viladecans,id08301
Vilanova del Camí,id08302
Vilanova de Sau,id08303
Vilobí del Penedès,id08304
Vilafranca del Penedès,id08305
Vilalba Sasserra,id08306
Vilanova i la Geltrú,id08307
Viver i Serrateix,id08308
Rupit i Pruit,id08901
Vilanova del Vallès,id08902
Sant Julià de Cerdanyola,id08903
Badia del Vallès,id08904
"Palma de Cervelló, La",id08905
Abajas,id09001
Adrada de Haza,id09003
Aguas Cándidas,id09006
Aguilar de Bureba,id09007
Albillos,id09009
Alcocero de Mola,id09010
Alfoz de Bricia,id09011
Alfoz de Santa Gadea,id09012
Altable,id09013
"Altos, Los",id09014
Ameyugo,id09016
Anguix,id09017
Aranda de Duero,id09018
Arandilla,id09019
Arauzo de Miel,id09020
Arauzo de Salce,id09021
Arauzo de Torre,id09022
Arcos,id09023
Arenillas de Riopisuerga,id09024
Arija,id09025
Arlanzón,id09026
Arraya de Oca,id09027
Atapuerca,id09029
"Ausines, Los",id09030
Avellanosa de Muñó,id09032
Bahabón de Esgueva,id09033
"Balbases, Los",id09034
Baños de Valdearados,id09035
Bañuelos de Bureba,id09036
Barbadillo de Herreros,id09037
Barbadillo del Mercado,id09038
Barbadillo del Pez,id09039
Barrio de Muñó,id09041
"Barrios de Bureba, Los",id09043
Barrios de Colina,id09044
Basconcillos del Tozo,id09045
Bascuñana,id09046
Belbimbre,id09047
Belorado,id09048
Berberana,id09050
Berlangas de Roa,id09051
Berzosa de Bureba,id09052
Bozoó,id09054
Brazacorta,id09055
Briviesca,id09056
Bugedo,id09057
Buniel,id09058
Burgos,id09059
Busto de Bureba,id09060
Cabañes de Esgueva,id09061
Cabezón de la Sierra,id09062
Cavia,id09063
Caleruega,id09064
Campillo de Aranda,id09065
Campolara,id09066
Canicosa de la Sierra,id09067
Cantabrana,id09068
Carazo,id09070
Carcedo de Bureba,id09071
Carcedo de Burgos,id09072
Cardeñadijo,id09073
Cardeñajimeno,id09074
Cardeñuela Riopico,id09075
Carrias,id09076
Cascajares de Bureba,id09077
Cascajares de la Sierra,id09078
Castellanos de Castro,id09079
Castildelgado,id09082
Castil de Peones,id09083
Castrillo de la Reina,id09084
Castrillo de la Vega,id09085
Castrillo del Val,id09086
Castrillo de Riopisuerga,id09088
Castrillo Matajudíos,id09090
Castrojeriz,id09091
Cayuela,id09093
Cebrecos,id09094
Celada del Camino,id09095
Cerezo de Río Tirón,id09098
Cerratón de Juarros,id09100
Ciadoncha,id09101
Cillaperlata,id09102
Cilleruelo de Abajo,id09103
Cilleruelo de Arriba,id09104
Ciruelos de Cervera,id09105
Cogollos,id09108
Condado de Treviño,id09109
Contreras,id09110
Coruña del Conde,id09112
Covarrubias,id09113
Cubillo del Campo,id09114
Cubo de Bureba,id09115
"Cueva de Roa, La",id09117
Cuevas de San Clemente,id09119
Encío,id09120
Espinosa de Cervera,id09122
Espinosa del Camino,id09123
Espinosa de los Monteros,id09124
Estépar,id09125
Fontioso,id09127
Frandovínez,id09128
Fresneda de la Sierra Tirón,id09129
Fresneña,id09130
Fresnillo de las Dueñas,id09131
Fresno de Río Tirón,id09132
Fresno de Rodilla,id09133
Frías,id09134
Fuentebureba,id09135
Fuentecén,id09136
Fuentelcésped,id09137
Fuentelisendo,id09138
Fuentemolinos,id09139
Fuentenebro,id09140
Fuentespina,id09141
Galbarros,id09143
"Gallega, La",id09144
Grijalba,id09148
Grisaleña,id09149
Gumiel de Izán,id09151
Gumiel de Mercado,id09152
Hacinas,id09154
Haza,id09155
Hontanas,id09159
Hontangas,id09160
Hontoria de la Cantera,id09162
Hontoria del Pinar,id09163
Hontoria de Valdearados,id09164
"Hormazas, Las",id09166
Hornillos del Camino,id09167
"Horra, La",id09168
Hortigüela,id09169
Hoyales de Roa,id09170
Huérmeces,id09172
Huerta de Arriba,id09173
Huerta de Rey,id09174
Humada,id09175
Hurones,id09176
Ibeas de Juarros,id09177
Ibrillos,id09178
Iglesiarrubia,id09179
Iglesias,id09180
Isar,id09181
Itero del Castillo,id09182
Jaramillo de la Fuente,id09183
Jaramillo Quemado,id09184
Junta de Traslaloma,id09189
Junta de Villalba de Losa,id09190
Jurisdicción de Lara,id09191
Jurisdicción de San Zadornil,id09192
Lerma,id09194
Llano de Bureba,id09195
Madrigal del Monte,id09196
Madrigalejo del Monte,id09197
Mahamud,id09198
Mambrilla de Castrejón,id09199
Mambrillas de Lara,id09200
Mamolar,id09201
Manciles,id09202
Mazuela,id09206
Mecerreyes,id09208
Medina de Pomar,id09209
Melgar de Fernamental,id09211
Merindad de Cuesta-Urria,id09213
Merindad de Montija,id09214
Merindad de Sotoscueva,id09215
Merindad de Valdeporres,id09216
Merindad de Valdivielso,id09217
Milagros,id09218
Miranda de Ebro,id09219
Miraveche,id09220
Modúbar de la Emparedada,id09221
Monasterio de la Sierra,id09223
Monasterio de Rodilla,id09224
Moncalvillo,id09225
Monterrubio de la Demanda,id09226
Montorio,id09227
Moradillo de Roa,id09228
Nava de Roa,id09229
Navas de Bureba,id09230
Nebreda,id09231
Neila,id09232
Olmedillo de Roa,id09235
Olmillos de Muñó,id09236
Oña,id09238
Oquillas,id09239
Orbaneja Riopico,id09241
Padilla de Abajo,id09242
Padilla de Arriba,id09243
Padrones de Bureba,id09244
Palacios de la Sierra,id09246
Palacios de Riopisuerga,id09247
Palazuelos de la Sierra,id09248
Palazuelos de Muñó,id09249
Pampliega,id09250
Pancorbo,id09251
Pardilla,id09253
Partido de la Sierra en Tobalina,id09255
Pedrosa de Duero,id09256
Pedrosa del Páramo,id09257
Pedrosa del Príncipe,id09258
Pedrosa de Río Úrbel,id09259
Peñaranda de Duero,id09261
Peral de Arlanza,id09262
Piérnigas,id09265
Pineda de la Sierra,id09266
Pineda Trasmonte,id09267
Pinilla de los Barruecos,id09268
Pinilla de los Moros,id09269
Pinilla Trasmonte,id09270
Poza de la Sal,id09272
Prádanos de Bureba,id09273
Pradoluengo,id09274
Presencio,id09275
"Puebla de Arganzón, La",id09276
Puentedura,id09277
Quemada,id09279
Quintanabureba,id09280
Quintana del Pidio,id09281
Quintanaélez,id09283
Quintanaortuño,id09287
Quintanapalla,id09288
Quintanar de la Sierra,id09289
Quintanavides,id09292
Quintanilla de la Mata,id09294
Quintanilla del Coco,id09295
"Quintanillas, Las",id09297
Quintanilla San García,id09298
Quintanilla Vivar,id09301
Rabanera del Pinar,id09302
Rábanos,id09303
Rabé de las Calzadas,id09304
Rebolledo de la Torre,id09306
Redecilla del Camino,id09307
Redecilla del Campo,id09308
Regumiel de la Sierra,id09309
Reinoso,id09310
Retuerta,id09311
"Revilla y Ahedo, La",id09312
Revilla del Campo,id09314
Revillarruz,id09315
Revilla Vallejera,id09316
Rezmondo,id09317
Riocavado de la Sierra,id09318
Roa,id09321
Rojas,id09323
Royuela de Río Franco,id09325
Rubena,id09326
Rublacedo de Abajo,id09327
Rucandio,id09328
Salas de Bureba,id09329
Salas de los Infantes,id09330
Saldaña de Burgos,id09332
Salinillas de Bureba,id09334
San Adrián de Juarros,id09335
San Juan del Monte,id09337
San Mamés de Burgos,id09338
San Martín de Rubiales,id09339
San Millán de Lara,id09340
Santa Cecilia,id09343
Santa Cruz de la Salceda,id09345
Santa Cruz del Valle Urbión,id09346
Santa Gadea del Cid,id09347
Santa Inés,id09348
Santa María del Campo,id09350
Santa María del Invierno,id09351
Santa María del Mercadillo,id09352
Santa María Rivarredonda,id09353
Santa Olalla de Bureba,id09354
Santibáñez de Esgueva,id09355
Santibáñez del Val,id09356
Santo Domingo de Silos,id09358
San Vicente del Valle,id09360
Sargentes de la Lora,id09361
Sarracín,id09362
Sasamón,id09363
"Sequera de Haza, La",id09365
Solarana,id09366
Sordillos,id09368
Sotillo de la Ribera,id09369
Sotragero,id09372
Sotresgudo,id09373
Susinos del Páramo,id09374
Tamarón,id09375
Tardajos,id09377
Tejada,id09378
Terradillos de Esgueva,id09380
Tinieblas de la Sierra,id09381
Tobar,id09382
Tordómar,id09384
Torrecilla del Monte,id09386
Torregalindo,id09387
Torrelara,id09388
Torrepadre,id09389
Torresandino,id09390
Tórtoles de Esgueva,id09391
Tosantos,id09392
Trespaderne,id09394
Tubilla del Agua,id09395
Tubilla del Lago,id09396
Úrbel del Castillo,id09398
Vadocondes,id09400
Valdeande,id09403
Valdezate,id09405
Valdorros,id09406
Valmala,id09407
Vallarta de Bureba,id09408
Valle de Manzanedo,id09409
Valle de Mena,id09410
Valle de Oca,id09411
Valle de Tobalina,id09412
Valle de Valdebezana,id09413
Valle de Valdelaguna,id09414
Valle de Valdelucio,id09415
Valle de Zamanzas,id09416
Vallejera,id09417
Valles de Palenzuela,id09418
Valluércanes,id09419
"Vid y Barrios, La",id09421
"Vid de Bureba, La",id09422
Vileña,id09423
Viloria de Rioja,id09424
Vilviestre del Pinar,id09425
Villadiego,id09427
Villaescusa de Roa,id09428
Villaescusa la Sombría,id09429
Villaespasa,id09430
Villafranca Montes de Oca,id09431
Villafruela,id09432
Villagalijo,id09433
Villagonzalo Pedernales,id09434
Villahoz,id09437
Villalba de Duero,id09438
Villalbilla de Burgos,id09439
Villalbilla de Gumiel,id09440
Villaldemiro,id09441
Villalmanzo,id09442
Villamayor de los Montes,id09443
Villamayor de Treviño,id09444
Villambistia,id09445
Villamedianilla,id09446
Villamiel de la Sierra,id09447
Villangómez,id09448
Villanueva de Argaño,id09449
Villanueva de Carazo,id09450
Villanueva de Gumiel,id09451
Villanueva de Teba,id09454
Villaquirán de la Puebla,id09455
Villaquirán de los Infantes,id09456
Villariezo,id09458
Villasandino,id09460
Villasur de Herreros,id09463
Villatuelda,id09464
Villaverde del Monte,id09466
Villaverde-Mogina,id09467
Villayerno Morquillas,id09471
Villazopeque,id09472
Villegas,id09473
Villoruebo,id09476
Vizcaínos,id09478
Zael,id09480
Zarzosa de Río Pisuerga,id09482
Zazuar,id09483
Zuñeda,id09485
Quintanilla del Agua y Tordueles,id09901
Valle de Santibáñez,id09902
Villarcayo de Merindad de Castilla la Vieja,id09903
Valle de las Navas,id09904
Valle de Sedano,id09905
Merindad de Río Ubierna,id09906
Alfoz de Quintanadueñas,id09907
Valle de Losa,id09908
Abadía,id10001
Abertura,id10002
Acebo,id10003
Acehúche,id10004
Aceituna,id10005
Ahigal,id10006
Albalá,id10007
Alcántara,id10008
Alcollarín,id10009
Alcuéscar,id10010
Aldeacentenera,id10011
Aldea del Cano,id10012
"Aldea del Obispo, La",id10013
Aldeanueva de la Vera,id10014
Aldeanueva del Camino,id10015
Aldehuela de Jerte,id10016
Alía,id10017
Aliseda,id10018
Almaraz,id10019
Almoharín,id10020
Arroyo de la Luz,id10021
Arroyomolinos de la Vera,id10022
Arroyomolinos,id10023
Baños de Montemayor,id10024
Barrado,id10025
Belvís de Monroy,id10026
Benquerencia,id10027
Berrocalejo,id10028
Berzocana,id10029
Bohonal de Ibor,id10030
Botija,id10031
Brozas,id10032
Cabañas del Castillo,id10033
Cabezabellosa,id10034
Cabezuela del Valle,id10035
Cabrero,id10036
Cáceres,id10037
Cachorrilla,id10038
Cadalso,id10039
Calzadilla,id10040
Caminomorisco,id10041
Campillo de Deleitosa,id10042
Campo Lugar,id10043
Cañamero,id10044
Cañaveral,id10045
Carbajo,id10046
Carcaboso,id10047
Carrascalejo,id10048
Casar de Cáceres,id10049
Casar de Palomero,id10050
Casares de las Hurdes,id10051
Casas de Don Antonio,id10052
Casas de Don Gómez,id10053
Casas del Castañar,id10054
Casas del Monte,id10055
Casas de Millán,id10056
Casas de Miravete,id10057
Casatejada,id10058
Casillas de Coria,id10059
Castañar de Ibor,id10060
Ceclavín,id10061
Cedillo,id10062
Cerezo,id10063
Cilleros,id10064
Collado de la Vera,id10065
Conquista de la Sierra,id10066
Coria,id10067
Cuacos de Yuste,id10068
"Cumbre, La",id10069
Deleitosa,id10070
Descargamaría,id10071
Eljas,id10072
Escurial,id10073
Fresnedoso de Ibor,id10075
Galisteo,id10076
Garciaz,id10077
"Garganta, La",id10078
Garganta la Olla,id10079
Gargantilla,id10080
Gargüera,id10081
Garrovillas de Alconétar,id10082
Garvín,id10083
Gata,id10084
"Gordo, El",id10085
"Granja, La",id10086
Guadalupe,id10087
Guijo de Coria,id10088
Guijo de Galisteo,id10089
Guijo de Granadilla,id10090
Guijo de Santa Bárbara,id10091
Herguijuela,id10092
Hernán-Pérez,id10093
Herrera de Alcántara,id10094
Herreruela,id10095
Hervás,id10096
Higuera,id10097
Hinojal,id10098
Holguera,id10099
Hoyos,id10100
Huélaga,id10101
Ibahernando,id10102
Jaraicejo,id10103
Jaraíz de la Vera,id10104
Jarandilla de la Vera,id10105
Jarilla,id10106
Jerte,id10107
Ladrillar,id10108
Logrosán,id10109
Losar de la Vera,id10110
Madrigal de la Vera,id10111
Madrigalejo,id10112
Madroñera,id10113
Majadas,id10114
Malpartida de Cáceres,id10115
Malpartida de Plasencia,id10116
Marchagaz,id10117
Mata de Alcántara,id10118
Membrío,id10119
Mesas de Ibor,id10120
Miajadas,id10121
Millanes,id10122
Mirabel,id10123
Mohedas de Granadilla,id10124
Monroy,id10125
Montánchez,id10126
Montehermoso,id10127
Moraleja,id10128
Morcillo,id10129
Navaconcejo,id10130
Navalmoral de la Mata,id10131
Navalvillar de Ibor,id10132
Navas del Madroño,id10133
Navezuelas,id10134
Nuñomoral,id10135
Oliva de Plasencia,id10136
Palomero,id10137
Pasarón de la Vera,id10138
Pedroso de Acim,id10139
Peraleda de la Mata,id10140
Peraleda de San Román,id10141
Perales del Puerto,id10142
Pescueza,id10143
"Pesga, La",id10144
Piedras Albas,id10145
Pinofranqueado,id10146
Piornal,id10147
Plasencia,id10148
Plasenzuela,id10149
Portaje,id10150
Portezuelo,id10151
Pozuelo de Zarzón,id10152
Puerto de Santa Cruz,id10153
Rebollar,id10154
Riolobos,id10155
Robledillo de Gata,id10156
Robledillo de la Vera,id10157
Robledillo de Trujillo,id10158
Robledollano,id10159
Romangordo,id10160
Ruanes,id10161
Salorino,id10162
Salvatierra de Santiago,id10163
San Martín de Trevejo,id10164
Santa Ana,id10165
Santa Cruz de la Sierra,id10166
Santa Cruz de Paniagua,id10167
Santa Marta de Magasca,id10168
Santiago de Alcántara,id10169
Santiago del Campo,id10170
Santibáñez el Alto,id10171
Santibáñez el Bajo,id10172
Saucedilla,id10173
Segura de Toro,id10174
Serradilla,id10175
Serrejón,id10176
Sierra de Fuentes,id10177
Talaván,id10178
Talaveruela de la Vera,id10179
Talayuela,id10180
Tejeda de Tiétar,id10181
Toril,id10182
Tornavacas,id10183
"Torno, El",id10184
Torrecilla de los Ángeles,id10185
Torrecillas de la Tiesa,id10186
Torre de Don Miguel,id10187
Torre de Santa María,id10188
Torrejoncillo,id10189
Torrejón el Rubio,id10190
Torremenga,id10191
Torremocha,id10192
Torreorgaz,id10193
Torrequemada,id10194
Trujillo,id10195
Valdastillas,id10196
Valdecañas de Tajo,id10197
Valdefuentes,id10198
Valdehúncar,id10199
Valdelacasa de Tajo,id10200
Valdemorales,id10201
Valdeobispo,id10202
Valencia de Alcántara,id10203
Valverde de la Vera,id10204
Valverde del Fresno,id10205
Viandar de la Vera,id10206
Villa del Campo,id10207
Villa del Rey,id10208
Villamesías,id10209
Villamiel,id10210
Villanueva de la Sierra,id10211
Villanueva de la Vera,id10212
Villar del Pedroso,id10213
Villar de Plasencia,id10214
Villasbuenas de Gata,id10215
Zarza de Granadilla,id10216
Zarza de Montánchez,id10217
Zarza la Mayor,id10218
Zorita,id10219
Rosalejo,id10901
Vegaviana,id10902
Alagón del Río,id10903
Tiétar,id10904
Pueblonuevo de Miramontes,id10905
Alcalá de los Gazules,id11001
Alcalá del Valle,id11002
Algar,id11003
Algeciras,id11004
Algodonales,id11005
Arcos de la Frontera,id11006
Barbate,id11007
"Barrios, Los",id11008
Benaocaz,id11009
Bornos,id11010
"Bosque, El",id11011
Cádiz,id11012
Castellar de la Frontera,id11013
Conil de la Frontera,id11014
Chiclana de la Frontera,id11015
Chipiona,id11016
Espera,id11017
"Gastor, El",id11018
Grazalema,id11019
Jerez de la Frontera,id11020
Jimena de la Frontera,id11021
"Línea de la Concepción, La",id11022
Medina-Sidonia,id11023
Olvera,id11024
Paterna de Rivera,id11025
Prado del Rey,id11026
"Puerto de Santa María, El",id11027
Puerto Real,id11028
Puerto Serrano,id11029
Rota,id11030
San Fernando,id11031
Sanlúcar de Barrameda,id11032
San Roque,id11033
Setenil de las Bodegas,id11034
Tarifa,id11035
Torre Alháquime,id11036
Trebujena,id11037
Ubrique,id11038
Vejer de la Frontera,id11039
Villaluenga del Rosario,id11040
Villamartín,id11041
Zahara,id11042
Benalup-Casas Viejas,id11901
San José del Valle,id11902
Atzeneta del Maestrat,id12001
Aín,id12002
Albocàsser,id12003
Alcalà de Xivert,id12004
"Alcora, l'",id12005
Alcudia de Veo,id12006
Alfondeguilla,id12007
Algimia de Almonacid,id12008
Almazora/Almassora,id12009
Almedíjar,id12010
Almenara,id12011
Altura,id12012
Arañuel,id12013
Ares del Maestrat,id12014
Argelita,id12015
Artana,id12016
Ayódar,id12017
Azuébar,id12018
Barracas,id12020
Betxí,id12021
Bejís,id12022
Benafer,id12024
Benafigos,id12025
Benasal,id12026
Benicarló,id12027
Benicasim/Benicàssim,id12028
Benlloch,id12029
Borriol,id12031
Borriana/Burriana,id12032
Cabanes,id12033
Càlig,id12034
Canet lo Roig,id12036
Castell de Cabres,id12037
Castellfort,id12038
Castellnovo,id12039
Castellón de la Plana/Castelló de la Plana,id12040
Castillo de Villamalefa,id12041
Catí,id12042
Caudiel,id12043
Cervera del Maestre,id12044
Cinctorres,id12045
Cirat,id12046
Cortes de Arenoso,id12048
Costur,id12049
"Coves de Vinromà, les",id12050
Culla,id12051
Xert,id12052
Chilches/Xilxes,id12053
Chodos/Xodos,id12055
Chóvar,id12056
Eslida,id12057
Espadilla,id12058
Fanzara,id12059
Figueroles,id12060
Forcall,id12061
Fuente la Reina,id12063
Fuentes de Ayódar,id12064
Gaibiel,id12065
Geldo,id12067
Herbés,id12068
Higueras,id12069
"Jana, la",id12070
Jérica,id12071
Lucena del Cid,id12072
Ludiente,id12073
"Llosa, la",id12074
"Mata de Morella, la",id12075
Matet,id12076
Moncofa,id12077
Montán,id12078
Montanejos,id12079
Morella,id12080
Navajas,id12081
Nules,id12082
Olocau del Rey,id12083
Onda,id12084
Oropesa del Mar/Orpesa,id12085
Palanques,id12087
Pavías,id12088
Peníscola/Peñíscola,id12089
Pina de Montalgrao,id12090
Portell de Morella,id12091
Puebla de Arenoso,id12092
"Pobla de Benifassà, la",id12093
"Pobla Tornesa, la",id12094
Ribesalbes,id12095
Rossell,id12096
Sacañet,id12097
"Salzadella, la",id12098
Sant Jordi/San Jorge,id12099
Sant Mateu,id12100
San Rafael del Río,id12101
Santa Magdalena de Pulpis,id12102
"Serratella, la",id12103
Segorbe,id12104
Sierra Engarcerán,id12105
Soneja,id12106
Sot de Ferrer,id12107
Sueras/Suera,id12108
Tales,id12109
Teresa,id12110
Tírig,id12111
Todolella,id12112
Toga,id12113
Torás,id12114
"Toro, El",id12115
Torralba del Pinar,id12116
Torreblanca,id12117
Torrechiva,id12118
"Torre d'En Besora, la",id12119
"Torre d'en Doménec, la",id12120
Traiguera,id12121
"Useras/Useres, les",id12122
Vallat,id12123
Vall d'Alba,id12124
Vall de Almonacid,id12125
"Vall d'Uixó, la",id12126
Vallibona,id12127
Vilafamés,id12128
Villafranca del Cid/Vilafranca,id12129
Villahermosa del Río,id12130
Villamalur,id12131
Vilanova d'Alcolea,id12132
Villanueva de Viver,id12133
Vilar de Canes,id12134
Vila-real,id12135
"Vilavella, la",id12136
Villores,id12137
Vinaròs,id12138
Vistabella del Maestrat,id12139
Viver,id12140
Zorita del Maestrazgo,id12141
Zucaina,id12142
"Alqueries, les/Alquerías del Niño Perdido",id12901
Sant Joan de Moró,id12902
Abenójar,id13001
Agudo,id13002
Alamillo,id13003
Albaladejo,id13004
Alcázar de San Juan,id13005
Alcoba,id13006
Alcolea de Calatrava,id13007
Alcubillas,id13008
Aldea del Rey,id13009
Alhambra,id13010
Almadén,id13011
Almadenejos,id13012
Almagro,id13013
Almedina,id13014
Almodóvar del Campo,id13015
Almuradiel,id13016
Anchuras,id13017
Arenas de San Juan,id13018
Argamasilla de Alba,id13019
Argamasilla de Calatrava,id13020
Arroba de los Montes,id13021
Ballesteros de Calatrava,id13022
Bolaños de Calatrava,id13023
Brazatortas,id13024
Cabezarados,id13025
Cabezarrubias del Puerto,id13026
Calzada de Calatrava,id13027
Campo de Criptana,id13028
Cañada de Calatrava,id13029
Caracuel de Calatrava,id13030
Carrión de Calatrava,id13031
Carrizosa,id13032
Castellar de Santiago,id13033
Ciudad Real,id13034
Corral de Calatrava,id13035
"Cortijos, Los",id13036
Cózar,id13037
Chillón,id13038
Daimiel,id13039
Fernán Caballero,id13040
Fontanarejo,id13041
Fuencaliente,id13042
Fuenllana,id13043
Fuente el Fresno,id13044
Granátula de Calatrava,id13045
Guadalmez,id13046
Herencia,id13047
Hinojosas de Calatrava,id13048
Horcajo de los Montes,id13049
"Labores, Las",id13050
Luciana,id13051
Malagón,id13052
Manzanares,id13053
Membrilla,id13054
Mestanza,id13055
Miguelturra,id13056
Montiel,id13057
Moral de Calatrava,id13058
Navalpino,id13059
Navas de Estena,id13060
Pedro Muñoz,id13061
Picón,id13062
Piedrabuena,id13063
Poblete,id13064
Porzuna,id13065
Pozuelo de Calatrava,id13066
"Pozuelos de Calatrava, Los",id13067
Puebla de Don Rodrigo,id13068
Puebla del Príncipe,id13069
Puerto Lápice,id13070
Puertollano,id13071
Retuerta del Bullaque,id13072
Saceruela,id13073
San Carlos del Valle,id13074
San Lorenzo de Calatrava,id13075
Santa Cruz de los Cáñamos,id13076
Santa Cruz de Mudela,id13077
Socuéllamos,id13078
"Solana, La",id13079
Solana del Pino,id13080
Terrinches,id13081
Tomelloso,id13082
Torralba de Calatrava,id13083
Torre de Juan Abad,id13084
Torrenueva,id13085
Valdemanco del Esteras,id13086
Valdepeñas,id13087
Valenzuela de Calatrava,id13088
Villahermosa,id13089
Villamanrique,id13090
Villamayor de Calatrava,id13091
Villanueva de la Fuente,id13092
Villanueva de los Infantes,id13093
Villanueva de San Carlos,id13094
Villar del Pozo,id13095
Villarrubia de los Ojos,id13096
Villarta de San Juan,id13097
Viso del Marqués,id13098
"Robledo, El",id13901
Ruidera,id13902
Arenales de San Gregorio,id13903
Llanos del Caudillo,id13904
Adamuz,id14001
Aguilar de la Frontera,id14002
Alcaracejos,id14003
Almedinilla,id14004
Almodóvar del Río,id14005
Añora,id14006
Baena,id14007
Belalcázar,id14008
Belmez,id14009
Benamejí,id14010
"Blázquez, Los",id14011
Bujalance,id14012
Cabra,id14013
Cañete de las Torres,id14014
Carcabuey,id14015
Cardeña,id14016
"Carlota, La",id14017
"Carpio, El",id14018
Castro del Río,id14019
Conquista,id14020
Córdoba,id14021
Doña Mencía,id14022
Dos Torres,id14023
Encinas Reales,id14024
Espejo,id14025
Espiel,id14026
Fernán-Núñez,id14027
Fuente la Lancha,id14028
Fuente Obejuna,id14029
Fuente Palmera,id14030
Fuente-Tójar,id14031
"Granjuela, La",id14032
Guadalcázar,id14033
"Guijo, El",id14034
Hinojosa del Duque,id14035
Hornachuelos,id14036
Iznájar,id14037
Lucena,id14038
Luque,id14039
Montalbán de Córdoba,id14040
Montemayor,id14041
Montilla,id14042
Montoro,id14043
Monturque,id14044
Moriles,id14045
Nueva Carteya,id14046
Obejo,id14047
Palenciana,id14048
Palma del Río,id14049
Pedro Abad,id14050
Pedroche,id14051
Peñarroya-Pueblonuevo,id14052
Posadas,id14053
Pozoblanco,id14054
Priego de Córdoba,id14055
Puente Genil,id14056
"Rambla, La",id14057
Rute,id14058
San Sebastián de los Ballesteros,id14059
Santaella,id14060
Santa Eufemia,id14061
Torrecampo,id14062
Valenzuela,id14063
Valsequillo,id14064
"Victoria, La",id14065
Villa del Río,id14066
Villafranca de Córdoba,id14067
Villaharta,id14068
Villanueva de Córdoba,id14069
Villanueva del Duque,id14070
Villanueva del Rey,id14071
Villaralto,id14072
Villaviciosa de Córdoba,id14073
"Viso, El",id14074
Zuheros,id14075
Abegondo,id15001
Ames,id15002
Aranga,id15003
Ares,id15004
Arteixo,id15005
Arzúa,id15006
"Baña, A",id15007
Bergondo,id15008
Betanzos,id15009
Boimorto,id15010
Boiro,id15011
Boqueixón,id15012
Brión,id15013
Cabana de Bergantiños,id15014
Cabanas,id15015
Camariñas,id15016
Cambre,id15017
"Capela, A",id15018
Carballo,id15019
Carnota,id15020
Carral,id15021
Cedeira,id15022
Cee,id15023
Cerceda,id15024
Cerdido,id15025
Coirós,id15027
Corcubión,id15028
Coristanco,id15029
"Coruña, A",id15030
Culleredo,id15031
Curtis,id15032
Dodro,id15033
Dumbría,id15034
Fene,id15035
Ferrol,id15036
Fisterra,id15037
Frades,id15038
Irixoa,id15039
Laxe,id15040
"Laracha, A",id15041
Lousame,id15042
Malpica de Bergantiños,id15043
Mañón,id15044
Mazaricos,id15045
Melide,id15046
Mesía,id15047
Miño,id15048
Moeche,id15049
Monfero,id15050
Mugardos,id15051
Muxía,id15052
Muros,id15053
Narón,id15054
Neda,id15055
Negreira,id15056
Noia,id15057
Oleiros,id15058
Ordes,id15059
Oroso,id15060
Ortigueira,id15061
Outes,id15062
Paderne,id15064
Padrón,id15065
"Pino, O",id15066
"Pobra do Caramiñal, A",id15067
Ponteceso,id15068
Pontedeume,id15069
"Pontes de García Rodríguez, As",id15070
Porto do Son,id15071
Rianxo,id15072
Ribeira,id15073
Rois,id15074
Sada,id15075
San Sadurniño,id15076
Santa Comba,id15077
Santiago de Compostela,id15078
Santiso,id15079
Sobrado,id15080
"Somozas, As",id15081
Teo,id15082
Toques,id15083
Tordoia,id15084
Touro,id15085
Trazo,id15086
Valdoviño,id15087
Val do Dubra,id15088
Vedra,id15089
Vilasantar,id15090
Vilarmaior,id15091
Vimianzo,id15092
Zas,id15093
Cariño,id15901
Oza-Cesuras,id15902
Abia de la Obispalía,id16001
"Acebrón, El",id16002
Alarcón,id16003
Albaladejo del Cuende,id16004
Albalate de las Nogueras,id16005
Albendea,id16006
"Alberca de Záncara, La",id16007
Alcalá de la Vega,id16008
Alcantud,id16009
Alcázar del Rey,id16010
Alcohujate,id16011
Alconchel de la Estrella,id16012
Algarra,id16013
Aliaguilla,id16014
"Almarcha, La",id16015
Almendros,id16016
Almodóvar del Pinar,id16017
Almonacid del Marquesado,id16018
Altarejos,id16019
Arandilla del Arroyo,id16020
Arcos de la Sierra,id16022
Chillarón de Cuenca,id16023
Arguisuelas,id16024
Arrancacepas,id16025
Atalaya del Cañavate,id16026
Barajas de Melo,id16027
Barchín del Hoyo,id16029
Bascuñana de San Pedro,id16030
Beamud,id16031
Belinchón,id16032
Belmonte,id16033
Belmontejo,id16034
Beteta,id16035
Boniches,id16036
Buciegas,id16038
Buenache de Alarcón,id16039
Buenache de la Sierra,id16040
Buendía,id16041
Campillo de Altobuey,id16042
Campillos-Paravientos,id16043
Campillos-Sierra,id16044
Canalejas del Arroyo,id16045
Cañada del Hoyo,id16046
Cañada Juncosa,id16047
Cañamares,id16048
"Cañavate, El",id16049
Cañaveras,id16050
Cañaveruelas,id16051
Cañete,id16052
Cañizares,id16053
Carboneras de Guadazaón,id16055
Cardenete,id16056
Carrascosa,id16057
